,id,player,year,stint,team,lg,g,ab,r,h,X2b,X3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
207,1531,smithpo01,1882,1,PH4,AA,20,65,10,6,0,0,0,2.0,0.0,,12,,,,,,
208,1532,smithpo01,1882,2,LS2,AA,3,11,1,2,0,0,0,,0.0,,0,,,,,,
209,1534,snydepo01,1882,1,CN2,AA,72,309,49,90,12,2,1,50.0,0.0,,9,,,,,,
210,1557,ansonca01,1882,1,CHN,NL,82,348,69,126,29,8,1,83.0,,,20,7.0,,,,,
211,1558,bennech01,1882,1,DTN,NL,84,342,43,103,16,10,5,51.0,,,20,33.0,,,,,
212,1562,broutda01,1882,1,BFN,NL,84,351,71,129,23,11,6,63.0,,,21,7.0,,,,,
213,1564,burdoja01,1882,1,BSN,NL,83,319,36,76,6,7,0,27.0,,,9,24.0,,,,,
214,1574,connoro01,1882,1,TRN,NL,81,349,65,115,22,18,4,42.0,,,13,20.0,,,,,
215,1581,dennyje01,1882,1,PRO,NL,84,329,54,81,10,9,2,42.0,,,4,46.0,,,,,
216,1590,ewingbu01,1882,1,TRN,NL,74,328,67,89,16,11,2,29.0,,,10,15.0,,,,,
217,1596,forceda01,1882,1,BFN,NL,73,278,39,67,10,1,1,28.0,,,12,17.0,,,,,
218,1598,galvipu01,1882,1,BFN,NL,54,206,21,44,7,4,0,17.0,,,2,49.0,,,,,
219,1601,glassja01,1882,1,CL2,NL,84,358,66,104,27,9,4,46.0,,,13,9.0,,,,,
220,1603,gorege01,1882,1,CHN,NL,84,367,99,117,15,7,3,51.0,,,29,19.0,,,,,
221,1608,hinespa01,1882,1,PRO,NL,84,379,73,117,28,10,4,34.0,,,10,14.0,,,,,
222,1616,keefeti01,1882,1,TRN,NL,53,189,24,43,8,7,1,19.0,,,17,46.0,,,,,
223,1618,kellyki01,1882,1,CHN,NL,84,377,81,115,37,4,1,55.0,,,10,27.0,,,,,
224,1625,mathebo01,1882,1,BSN,NL,45,169,17,38,6,0,0,13.0,,,8,18.0,,,,,
225,1632,morrijo01,1882,1,BSN,NL,83,349,73,101,19,11,2,54.0,,,18,29.0,,,,,
226,1641,orourji01,1882,1,BFN,NL,84,370,62,104,15,6,2,37.0,,,13,13.0,,,,,
227,1642,pfefffr01,1882,1,TRN,NL,85,330,26,72,7,4,1,43.0,,,1,24.0,,,,,
228,1645,purcebl01,1882,1,BFN,NL,84,380,79,105,18,6,2,40.0,,,14,27.0,,,,,
229,1649,richaha01,1882,1,BFN,NL,83,354,61,96,20,8,2,57.0,,,11,33.0,,,,,
230,1658,shaffor01,1882,1,CL2,NL,84,313,37,67,14,2,3,28.0,,,27,27.0,,,,,
231,1661,startjo01,1882,1,PRO,NL,82,356,58,117,8,10,0,48.0,,,11,7.0,,,,,
232,1662,stoveha01,1882,1,WOR,NL,84,360,90,104,13,10,5,26.0,,,22,34.0,,,,,
233,1663,suttoez01,1882,1,BSN,NL,81,319,44,80,8,1,2,38.0,,,24,25.0,,,,,
234,1669,wardjo01,1882,1,PRO,NL,83,355,58,87,10,3,1,39.0,,,13,22.0,,,,,
235,1671,whitede01,1882,1,BFN,NL,83,337,51,95,17,0,1,33.0,,,15,16.0,,,,,
236,1680,woodge01,1882,1,DTN,NL,84,375,69,101,12,12,7,29.0,,,14,30.0,,,,,
237,1682,yorkto01,1882,1,PRO,NL,81,321,48,86,23,7,1,40.0,,,19,14.0,,,,,
238,1698,brownpe01,1883,1,LS2,AA,84,358,95,121,15,9,4,0.0,0.0,,23,,,,,,
239,1699,brownto01,1883,1,CL5,AA,97,420,69,115,12,7,5,32.0,0.0,,20,,,,,,
240,1727,gerhajo01,1883,1,LS2,AA,78,319,56,84,11,9,0,0.0,0.0,,14,,,,,,
241,1739,jonesch01,1883,1,CN2,AA,90,391,84,115,15,12,10,80.0,0.0,,20,,,,,,
242,1742,keefeti01,1883,1,NY4,AA,70,259,39,57,6,9,0,0.0,0.0,,14,,,,,,
243,1748,lathaar01,1883,1,SL4,AA,98,406,86,96,12,7,0,0.0,0.0,,18,,,,,,
244,1765,mathebo01,1883,1,PH4,AA,45,167,15,31,2,0,0,11.0,0.0,,5,,,,,,
245,1773,mcphebi01,1883,1,CN2,AA,96,367,61,90,10,10,2,42.0,0.0,,18,,,,,,
246,1778,mullato01,1883,1,SL4,AA,83,307,38,69,11,6,0,33.0,0.0,,13,,,,,,
247,1781,nelsoca01,1883,1,NY4,AA,97,417,75,127,19,6,0,0.0,0.0,,31,,,,,,
248,1809,smithpo01,1883,1,CL5,AA,97,405,82,106,14,17,4,0.0,0.0,,22,,,,,,
249,1810,snydepo01,1883,1,CN2,AA,58,250,38,64,14,6,0,34.0,0.0,,8,,,,,,
250,1813,stoveha01,1883,1,PH4,AA,94,421,110,128,31,6,14,66.0,0.0,,27,,,,,,
251,1832,ansonca01,1883,1,CHN,NL,98,413,70,127,36,5,0,68.0,,,18,9.0,,,,,
252,1834,bennech01,1883,1,DTN,NL,92,371,56,113,34,7,5,55.0,,,26,59.0,,,,,
253,1839,broutda01,1883,1,BFN,NL,98,425,85,159,41,17,3,97.0,,,16,17.0,,,,,
